frame,car,motorcycle,bus,truck
1055,1,0,0,1
1056,1,0,0,1
1057,1,0,0,1
1058,1,0,0,2
1059,1,0,0,1
1060,0,0,0,1
1061,0,0,0,1
1062,1,0,0,1
1063,0,0,0,1
1064,1,0,0,1
1065,0,0,0,2
1066,1,0,0,1
1067,0,0,0,1
1068,0,0,0,3
1069,0,0,0,1
1070,1,0,0,1
1071,0,0,0,1
1072,1,0,0,2
1073,0,0,0,2
1074,1,1,0,1
1075,1,0,0,2
1076,0,0,0,2
1077,0,0,0,1
1078,1,0,0,1
1079,0,0,0,1
1080,0,1,0,1
1081,1,0,0,2
1082,0,0,0,1
1083,0,0,0,2
1084,0,0,0,1
1085,0,0,0,1
1086,1,0,0,1
1087,0,1,0,1
1088,1,0,0,1
1089,2,0,0,1
1090,0,1,0,1
1091,0,1,0,2
1092,2,1,0,1
1093,1,0,0,2
1094,0,0,0,3
1095,1,0,0,1
1096,0,0,0,1
1097,0,1,0,0
1098,0,1,0,1
1099,0,1,0,1
1100,1,2,0,2
1101,1,1,0,2
1102,1,1,0,2
1103,1,1,0,2
1104,1,2,0,2
1105,1,2,0,2
1106,1,1,0,3
1107,2,3,0,1
1108,2,1,0,2
1109,2,2,0,3
1110,2,2,0,3
1111,2,2,0,2
1112,2,2,0,2
1113,2,2,0,3
1114,2,2,0,3
1115,2,2,0,2
1116,2,2,0,2
1117,2,2,0,3
1118,2,2,0,2
1119,2,2,0,2
1120,1,2,0,2
1121,1,2,0,2
1122,2,1,0,2
1123,1,2,0,2
1124,1,2,0,2
1125,0,2,0,2
1126,1,2,0,2
1127,0,2,0,2
1128,1,2,0,1
1129,0,2,0,2
1130,0,2,0,2
1131,0,2,0,2
1132,0,2,0,2
1133,0,2,0,2
1134,0,2,0,2
1135,0,2,0,2
1136,1,3,0,2
1137,1,3,0,2
1138,1,4,1,2
1139,1,3,1,2
1140,1,4,1,2
1141,1,4,1,2
1142,1,4,1,2
1143,1,5,0,2
1144,1,4,1,2
1145,1,4,1,2
1146,1,5,0,2
1147,1,4,1,2
1148,1,4,1,2
1149,1,4,1,2
1150,1,3,0,2
1151,0,4,1,2
1152,0,4,1,1
1153,1,5,0,2
1154,1,5,0,2
1155,1,4,0,2
1156,1,4,0,2
1157,0,4,0,2
1158,0,4,0,2
1159,1,4,0,3
1160,0,4,1,2
1161,0,5,0,2
1162,0,5,0,2
1163,0,5,1,2
1164,0,5,1,2
1165,0,5,0,2
1166,1,4,0,2
1167,1,3,1,3
1168,0,3,0,3
1169,0,3,0,3
1170,0,3,0,2
1171,0,4,1,2
1172,1,3,1,3
1173,0,3,1,3
1174,0,3,1,2
1175,0,3,1,1
1176,0,2,0,2
1177,0,2,0,3
1178,1,3,0,1
1179,0,4,0,2
1180,0,3,1,3
1181,0,3,1,1
1182,0,4,1,2
1183,0,4,1,1
1184,0,3,1,1
1185,0,3,1,1
1186,0,3,1,1
1187,0,3,1,2
1188,0,4,1,2
1189,0,4,1,2
1190,0,4,1,2
1191,0,4,1,2
1192,0,4,1,2
1193,0,3,0,3
1194,0,3,0,2
1195,0,6,1,2
1196,0,4,0,3
1197,1,5,1,3
1198,0,2,1,2
1199,0,4,1,3
1200,1,3,1,3
1201,0,3,1,3
1202,1,3,1,3
1203,0,2,2,3
1204,0,4,1,3
1205,1,5,1,2
1206,0,3,1,3
1207,1,3,1,2
1208,0,4,1,3
1209,1,3,1,3
1210,1,4,1,3
1211,1,4,0,2
1212,0,4,1,3
1213,1,4,1,3
1214,1,4,1,2
1215,1,5,1,2
1216,1,5,1,3
1217,1,5,1,2
1218,1,5,1,2
1219,1,3,1,2
1220,2,3,1,1
1221,1,4,1,2
1222,2,4,1,2
1223,0,3,1,3
1224,2,4,1,3
1225,3,4,1,3
1226,2,4,1,2
1227,2,5,1,1
1228,2,4,1,3
1229,1,2,1,3
1230,2,6,1,2
1231,1,3,1,2
1232,1,4,1,2
1233,2,4,1,2
1234,3,3,1,3
1235,3,4,0,2
1236,3,5,1,2
1237,3,2,1,1
1238,3,4,1,1
1239,3,4,1,1
1240,3,4,1,2
1241,3,3,1,2
1242,2,2,1,1
1243,2,3,1,0
1244,3,3,1,2
1245,1,3,1,2
1246,2,3,1,2
1247,2,5,1,0
1248,2,4,1,1
1249,2,4,1,2
1250,2,4,1,2
1251,3,7,1,2
1252,4,6,1,2
1253,4,4,1,2
1254,3,4,0,1
1255,4,4,0,1
1256,3,4,0,1
1257,3,5,0,1
1258,4,4,0,1
1259,4,6,0,1
1260,4,4,0,1
1261,4,3,0,2
1262,4,4,0,1
1263,4,4,0,1
1264,4,5,0,0
1265,4,4,0,2
1266,4,7,0,0
1267,4,7,1,0
1268,3,5,0,0
1269,4,4,0,0
1270,4,5,0,1
1271,4,4,0,1
1272,4,5,0,1
1273,4,5,0,1
1274,4,5,0,1
1275,4,5,0,1
1276,4,5,0,2
1277,4,6,0,2
1278,4,4,0,2
1279,3,4,0,2
1280,2,4,0,1
1281,3,6,0,2
1282,3,6,0,2
1283,3,5,0,1
1284,2,4,0,1
1285,2,5,0,2
1286,2,5,0,1
1287,2,6,1,1
1288,2,6,0,2
1289,2,5,0,2
1290,3,6,0,2
1291,3,4,0,2
1292,1,5,0,2
1293,1,5,0,1
1294,2,7,0,1
1295,3,5,0,0
1296,3,4,0,0
1297,3,6,1,0
1298,4,6,1,0
1299,3,7,0,0
1300,3,6,0,1
1301,2,7,0,1
1302,2,8,0,1
1303,2,8,0,0
1304,2,5,0,0
1305,3,6,0,0
1306,3,5,0,0
1307,2,6,0,0
1308,1,5,0,0
1309,2,5,0,1
1310,1,6,0,1
1311,1,5,0,1
1312,2,5,0,1
1313,2,5,0,1
1314,2,5,0,1
1315,2,5,0,1
1316,2,7,0,1
1317,0,4,0,0
1318,3,6,0,1
1319,1,8,0,0
1320,1,6,0,0
1321,1,4,0,0
1322,0,6,0,0
1323,0,6,0,0
1324,0,5,0,0
1325,1,6,0,0
1326,1,4,0,0
1327,2,4,0,0
1328,1,4,0,0
1329,1,4,0,1
1330,2,4,1,1
1331,0,3,0,0
1332,2,5,0,0
1333,0,5,0,0
1334,1,4,0,0
1335,2,4,0,0
1336,0,4,0,0
1337,2,4,0,0
1338,1,6,0,0
1339,1,4,0,0
1340,0,4,0,0
1341,1,4,0,1
1342,1,5,0,1
1343,1,5,0,1
1344,1,5,0,0
1345,1,5,0,1
1346,2,5,0,1
1347,2,6,0,4
1348,2,5,0,2
1349,0,4,0,2
1350,1,3,0,1
1351,3,4,0,2
1352,3,5,0,2
1353,4,3,0,1
1354,4,3,0,0
1355,4,3,0,1
